group,class,context,train_count,val_count,test_count,total_count
dog||ball,dog,ball,0,0,42,42
dog||bandana,dog,bandana,24,3,1,28
dog||basket,dog,basket,41,9,11,61
dog||bed,dog,bed,0,0,137,137
dog||bench,dog,bench,0,0,135,135
dog||bicycle,dog,bicycle,0,0,49,49
dog||bike,dog,bike,0,0,55,55
dog||bird,dog,bird,0,0,23,23
dog||blanket,dog,blanket,0,0,109,109
dog||boat,dog,boat,69,10,11,90
dog||book,dog,book,0,0,47,47
dog||books,dog,books,0,0,35,35
dog||bottle,dog,bottle,0,0,56,56
dog||bowl,dog,bowl,0,0,44,44
dog||box,dog,box,0,0,77,77
dog||boy,dog,boy,49,16,10,75
dog||bun,dog,bun,13,1,3,17
dog||bus,dog,bus,17,5,2,24
dog||cabinet,dog,cabinet,0,0,41,41
dog||cake,dog,cake,11,5,2,18
dog||camera,dog,camera,0,0,21,21
dog||can,dog,can,15,4,1,20
dog||cap,dog,cap,67,15,11,93
dog||car,dog,car,0,0,206,206
dog||carpet,dog,carpet,0,0,79,79
dog||cart,dog,cart,17,2,0,19
dog||cat,dog,cat,54,7,4,65
dog||cell phone,dog,cell phone,0,0,23,23
dog||chair,dog,chair,0,0,179,179
dog||child,dog,child,33,11,5,49
dog||clock,dog,clock,0,0,18,18
dog||clothes,dog,clothes,25,8,1,34
dog||coffee table,dog,coffee table,0,0,10,10
dog||collar,dog,collar,0,0,566,566
dog||comforter,dog,comforter,0,0,21,21
dog||cone,dog,cone,11,6,2,19
dog||container,dog,container,0,0,29,29
dog||couch,dog,couch,0,0,96,96
dog||cow,dog,cow,24,4,3,31
dog||cup,dog,cup,0,0,35,35
dog||curtain,dog,curtain,0,0,49,49
dog||deck,dog,deck,14,2,0,16
dog||desk,dog,desk,0,0,35,35
dog||dirt,dog,dirt,59,16,11,86
dog||door,dog,door,0,0,182,182
dog||drawer,dog,drawer,0,0,24,24
dog||dresser,dog,dresser,13,0,2,15
dog||elephant,dog,elephant,5,0,3,8
dog||fence,dog,fence,0,0,223,223
dog||fire hydrant,dog,fire hydrant,23,5,4,32
dog||flag,dog,flag,27,3,1,31
dog||floor,dog,floor,0,0,284,284
dog||food,dog,food,0,0,35,35
dog||frisbee,dog,frisbee,148,42,16,206
dog||girl,dog,girl,0,0,82,82
dog||glasses,dog,glasses,0,0,86,86
dog||goggles,dog,goggles,7,1,2,10
dog||grass,dog,grass,340,67,48,455
dog||ground,dog,ground,0,0,550,550
dog||guy,dog,guy,20,5,1,26
dog||hat,dog,hat,147,39,20,206
dog||helmet,dog,helmet,26,11,7,44
dog||horse,dog,horse,36,15,3,54
dog||house,dog,house,0,0,83,83
dog||jacket,dog,jacket,124,29,16,169
dog||keyboard,dog,keyboard,0,0,23,23
dog||lady,dog,lady,0,0,56,56
dog||lamp,dog,lamp,0,0,57,57
dog||laptop,dog,laptop,0,0,37,37
dog||life jacket,dog,life jacket,17,2,4,23
dog||man,dog,man,437,103,59,599
dog||mat,dog,mat,0,0,15,15
dog||mirror,dog,mirror,0,0,99,99
dog||monitor,dog,monitor,0,0,8,8
dog||motorcycle,dog,motorcycle,37,4,3,44
dog||mug,dog,mug,5,1,0,6
dog||oven,dog,oven,7,2,0,9
dog||people,dog,people,114,25,12,151
dog||person,dog,person,218,49,29,296
dog||phone,dog,phone,0,0,35,35
dog||picture,dog,picture,0,0,88,88
dog||pillow,dog,pillow,0,0,140,140
dog||pillows,dog,pillows,0,0,19,19
dog||plate,dog,plate,0,0,47,47
dog||pole,dog,pole,125,28,16,169
dog||pot,dog,pot,0,0,24,24
dog||purse,dog,purse,0,0,36,36
dog||refrigerator,dog,refrigerator,0,0,17,17
dog||remote control,dog,remote control,0,0,35,35
dog||rope,dog,rope,33,7,6,46
dog||rug,dog,rug,0,0,46,46
dog||sand,dog,sand,76,13,8,97
dog||scarf,dog,scarf,16,5,6,27
dog||screen,dog,screen,0,0,25,25
dog||seat,dog,seat,0,0,85,85
dog||sheep,dog,sheep,42,8,1,51
dog||sheet,dog,sheet,0,0,30,30
dog||shelf,dog,shelf,0,0,67,67
dog||shirt,dog,shirt,327,82,51,460
dog||skateboard,dog,skateboard,32,6,8,46
dog||skis,dog,skis,15,2,1,18
dog||snow,dog,snow,42,7,5,54
dog||sofa,dog,sofa,0,0,25,25
dog||stove,dog,stove,10,4,1,15
dog||stroller,dog,stroller,11,1,1,13
dog||stuffed animal,dog,stuffed animal,14,1,1,16
dog||suitcase,dog,suitcase,0,0,17,17
dog||surfboard,dog,surfboard,46,13,4,63
dog||table,dog,table,0,0,189,189
dog||tag,dog,tag,83,27,6,116
dog||teddy bear,dog,teddy bear,0,0,13,13
dog||television,dog,television,0,0,46,46
dog||tent,dog,tent,13,3,2,18
dog||tie,dog,tie,21,4,2,27
dog||toilet,dog,toilet,0,0,10,10
dog||towel,dog,towel,0,0,33,33
dog||toy,dog,toy,0,0,29,29
dog||trash can,dog,trash can,21,7,4,32
dog||tray,dog,tray,13,2,2,17
dog||trees,dog,trees,159,40,19,218
dog||truck,dog,truck,46,11,6,63
dog||umbrella,dog,umbrella,0,0,50,50
dog||vase,dog,vase,0,0,16,16
dog||vehicle,dog,vehicle,18,6,0,24
dog||wall,dog,wall,0,0,446,446
dog||water,dog,water,197,50,31,278
dog||window,dog,window,0,0,326,326
dog||woman,dog,woman,240,62,35,337
