class,context,category,train_prop,test_prop,delta
cat,fire hydrant,rare,0.0,0.0,0.0
cat,flag,rare,0.0,0.0,0.0
cat,floor,minority,0.0,0.0599,0.0599
cat,food,rare,0.0,0.0043,0.0043
cat,frisbee,rare,0.0,0.0,0.0
cat,girl,rare,0.0,0.0039,0.0039
cat,glasses,rare,0.0,0.0057,0.0057
cat,goggles,rare,0.0,0.0,0.0
cat,grass,worst_candidate,0.0,0.0147,0.0147
cat,ground,minority,0.0,0.0393,0.0393
cat,guy,rare,0.0,0.0,0.0
cat,hat,rare,0.0,0.0054,0.0054
cat,helmet,rare,0.0,0.0,0.0
cat,horse,rare,0.0,0.0012,0.0012
cat,house,rare,0.0,0.0048,0.0048
cat,jacket,rare,0.0,0.0,0.0
cat,keyboard,moderate,0.1189,0.0021,-0.1168
cat,lady,rare,0.0,0.0021,0.0021
cat,lamp,worst_candidate,0.0,0.0101,0.0101
cat,laptop,worst_candidate,0.0,0.0192,0.0192
cat,life jacket,rare,0.0,0.0,0.0
cat,luggage,rare,0.0192,0.0004,-0.0187
cat,man,worst_candidate,0.0,0.0167,0.0167
cat,mat,rare,0.0,0.0039,0.0039
cat,mirror,worst_candidate,0.0,0.0118,0.0118
cat,monitor,rare,0.0384,0.0009,-0.0375
cat,motorcycle,rare,0.0,0.0015,0.0015
cat,mug,rare,0.0,0.0,0.0
cat,napkin,rare,0.0128,0.0004,-0.0123
cat,oven,rare,0.0,0.0,0.0
cat,paper,moderate,0.0742,0.0009,-0.0733
cat,papers,rare,0.0294,0.0,-0.0294
cat,people,rare,0.0,0.0,0.0
cat,person,worst_candidate,0.0,0.0106,0.0106
cat,phone,rare,0.0,0.0028,0.0028
cat,picture,worst_candidate,0.0,0.0153,0.0153
cat,pillow,minority,0.0,0.0243,0.0243
cat,pillows,rare,0.0,0.0024,0.0024
cat,plate,rare,0.0,0.0077,0.0077
cat,pole,rare,0.0,0.0,0.0
cat,pot,rare,0.0,0.0068,0.0068
cat,purse,rare,0.0,0.0028,0.0028
cat,refrigerator,rare,0.0,0.003,0.003
cat,remote control,rare,0.0,0.0091,0.0091
cat,roof,rare,0.0269,0.0006,-0.0263
cat,rope,rare,0.0,0.0,0.0
cat,rug,worst_candidate,0.0,0.013,0.013
cat,sand,rare,0.0,0.0,0.0
cat,scarf,rare,0.0,0.0,0.0
cat,screen,moderate,0.11,0.001,-0.1089
cat,seat,worst_candidate,0.0,0.0103,0.0103
cat,sheep,rare,0.0,0.0,0.0
cat,sheet,rare,0.0,0.0058,0.0058
cat,shelf,worst_candidate,0.0,0.0197,0.0197
cat,shirt,rare,0.0,0.0,0.0
cat,shower curtain,rare,0.0128,0.0,-0.0128
cat,sink,moderate,0.0601,0.0006,-0.0595
cat,skateboard,rare,0.0,0.0,0.0
cat,skis,rare,0.0,0.0,0.0
cat,snow,rare,0.0,0.0,0.0
cat,sofa,rare,0.0,0.0057,0.0057
cat,speaker,rare,0.0345,0.0006,-0.0339
cat,stove,rare,0.0,0.0,0.0
cat,stroller,rare,0.0,0.0,0.0
cat,stuffed animal,rare,0.0,0.0,0.0
cat,suitcase,rare,0.0,0.0067,0.0067
cat,surfboard,rare,0.0,0.0,0.0
cat,table,minority,0.0,0.0436,0.0436
cat,tag,rare,0.0,0.0,0.0
cat,teddy bear,rare,0.0,0.0018,0.0018
cat,television,worst_candidate,0.0,0.0121,0.0121
cat,tent,rare,0.0,0.0,0.0
cat,tie,rare,0.0,0.0,0.0
cat,tissue,rare,0.009,0.0001,-0.0088
cat,toilet,rare,0.0307,0.0012,-0.0295
cat,toilet paper,rare,0.0115,0.0001,-0.0114
cat,towel,rare,0.0,0.0067,0.0067
cat,toy,rare,0.0,0.0055,0.0055
cat,trash can,rare,0.0,0.0,0.0
cat,tray,rare,0.0,0.0,0.0
cat,trees,rare,0.0,0.0,0.0
cat,truck,rare,0.0,0.0,0.0
cat,umbrella,rare,0.0,0.0033,0.0033
cat,vase,rare,0.0,0.0054,0.0054
cat,vehicle,rare,0.0,0.0,0.0
cat,wall,minority,0.0,0.1001,0.1001
cat,water,rare,0.0,0.008,0.008
cat,window,minority,0.0,0.0465,0.0465
cat,woman,worst_candidate,0.0,0.0109,0.0109
dog,animal,rare,0.0,0.0053,0.0053
dog,backpack,rare,0.0,0.0091,0.0091
dog,bag,minority,0.0,0.023,0.023
dog,ball,rare,0.0,0.0062,0.0062
dog,bandana,rare,0.0062,0.0001,-0.006
dog,basket,rare,0.0105,0.0016,-0.0089
dog,bear,rare,0.0,0.0,0.0
dog,bed,minority,0.0,0.0204,0.0204
dog,bench,minority,0.0,0.0201,0.0201
dog,bicycle,rare,0.0,0.0073,0.0073
dog,bike,rare,0.0,0.0082,0.0082
dog,bird,rare,0.0,0.0034,0.0034
dog,blanket,worst_candidate,0.0,0.0162,0.0162
dog,blinds,rare,0.0,0.0,0.0
dog,boat,rare,0.0177,0.0016,-0.0161
dog,book,rare,0.0,0.007,0.007
dog,bookcase,rare,0.0,0.0,0.0
dog,books,rare,0.0,0.0052,0.0052
dog,bookshelf,rare,0.0,0.0,0.0
dog,bottle,rare,0.0,0.0083,0.0083
dog,bowl,rare,0.0,0.0065,0.0065
dog,box,worst_candidate,0.0,0.0114,0.0114
dog,boy,rare,0.0126,0.0015,-0.0111
dog,bun,rare,0.0033,0.0004,-0.0029
dog,bus,rare,0.0044,0.0003,-0.0041
dog,cabinet,rare,0.0,0.0061,0.0061
dog,cake,rare,0.0028,0.0003,-0.0025
dog,camera,rare,0.0,0.0031,0.0031
dog,can,rare,0.0039,0.0001,-0.0037
dog,candle,rare,0.0,0.0,0.0
dog,cap,rare,0.0172,0.0016,-0.0156
dog,car,minority,0.0,0.0306,0.0306
dog,carpet,worst_candidate,0.0,0.0117,0.0117
dog,cart,rare,0.0044,0.0,-0.0044
dog,cat,rare,0.0139,0.0006,-0.0133
dog,cell phone,rare,0.0,0.0034,0.0034
dog,chair,minority,0.0,0.0266,0.0266
dog,child,rare,0.0085,0.0007,-0.0077
dog,clock,rare,0.0,0.0027,0.0027
dog,clothes,rare,0.0064,0.0001,-0.0063
dog,coffee table,rare,0.0,0.0015,0.0015
dog,collar,minority,0.0,0.0841,0.0841
dog,comforter,rare,0.0,0.0031,0.0031
dog,computer,rare,0.0,0.0,0.0
dog,computer mouse,rare,0.0,0.0,0.0
dog,cone,rare,0.0028,0.0003,-0.0025
dog,container,rare,0.0,0.0043,0.0043
dog,couch,worst_candidate,0.0,0.0143,0.0143
dog,counter,rare,0.0,0.0,0.0
dog,cow,rare,0.0062,0.0004,-0.0057
dog,cup,rare,0.0,0.0052,0.0052
dog,curtain,rare,0.0,0.0073,0.0073
dog,deck,rare,0.0036,0.0,-0.0036
dog,desk,rare,0.0,0.0052,0.0052
dog,dirt,rare,0.0152,0.0016,-0.0135
dog,dog,rare,0.0,0.0,0.0
dog,door,minority,0.0,0.027,0.027
dog,drawer,rare,0.0,0.0036,0.0036
dog,dresser,rare,0.0033,0.0003,-0.003
dog,dvd player,rare,0.0,0.0,0.0
dog,elephant,rare,0.0013,0.0004,-0.0008
dog,entertainment center,rare,0.0,0.0,0.0
dog,faucet,rare,0.0,0.0,0.0
dog,fence,minority,0.0,0.0331,0.0331
dog,fire hydrant,rare,0.0059,0.0006,-0.0053
dog,flag,rare,0.0069,0.0001,-0.0068
dog,floor,minority,0.0,0.0422,0.0422
dog,food,rare,0.0,0.0052,0.0052
dog,frisbee,rare,0.038,0.0024,-0.0356
dog,girl,worst_candidate,0.0,0.0122,0.0122
dog,glasses,worst_candidate,0.0,0.0128,0.0128
dog,goggles,rare,0.0018,0.0003,-0.0015
dog,grass,moderate,0.0873,0.0071,-0.0802
dog,ground,minority,0.0,0.0817,0.0817
dog,guy,rare,0.0051,0.0001,-0.005
dog,hat,rare,0.0378,0.003,-0.0348
dog,helmet,rare,0.0067,0.001,-0.0056
dog,horse,rare,0.0092,0.0004,-0.0088
dog,house,worst_candidate,0.0,0.0123,0.0123
dog,jacket,rare,0.0318,0.0024,-0.0295
dog,keyboard,rare,0.0,0.0034,0.0034
dog,lady,rare,0.0,0.0083,0.0083
dog,lamp,rare,0.0,0.0085,0.0085
dog,laptop,rare,0.0,0.0055,0.0055
dog,life jacket,rare,0.0044,0.0006,-0.0038
dog,luggage,rare,0.0,0.0,0.0
dog,man,moderate,0.1122,0.0088,-0.1035
dog,mat,rare,0.0,0.0022,0.0022
dog,mirror,worst_candidate,0.0,0.0147,0.0147
dog,monitor,rare,0.0,0.0012,0.0012
dog,motorcycle,rare,0.0095,0.0004,-0.0091
dog,mug,rare,0.0013,0.0,-0.0013
dog,napkin,rare,0.0,0.0,0.0
dog,oven,rare,0.0018,0.0,-0.0018
dog,paper,rare,0.0,0.0,0.0
dog,papers,rare,0.0,0.0,0.0
dog,people,rare,0.0293,0.0018,-0.0275
dog,person,moderate,0.056,0.0043,-0.0517
dog,phone,rare,0.0,0.0052,0.0052
dog,picture,worst_candidate,0.0,0.0131,0.0131
dog,pillow,minority,0.0,0.0208,0.0208
dog,pillows,rare,0.0,0.0028,0.0028
dog,plate,rare,0.0,0.007,0.007
dog,pole,rare,0.0321,0.0024,-0.0297
dog,pot,rare,0.0,0.0036,0.0036
dog,purse,rare,0.0,0.0053,0.0053
dog,refrigerator,rare,0.0,0.0025,0.0025
dog,remote control,rare,0.0,0.0052,0.0052
dog,roof,rare,0.0,0.0,0.0
dog,rope,rare,0.0085,0.0009,-0.0076
dog,rug,rare,0.0,0.0068,0.0068
dog,sand,rare,0.0195,0.0012,-0.0183
dog,scarf,rare,0.0041,0.0009,-0.0032
dog,screen,rare,0.0,0.0037,0.0037
dog,seat,worst_candidate,0.0,0.0126,0.0126
dog,sheep,rare,0.0108,0.0001,-0.0106
dog,sheet,rare,0.0,0.0045,0.0045
dog,shelf,rare,0.0,0.01,0.01
dog,shirt,moderate,0.084,0.0076,-0.0764
dog,shower curtain,rare,0.0,0.0,0.0
dog,sink,rare,0.0,0.0,0.0
dog,skateboard,rare,0.0082,0.0012,-0.007
dog,skis,rare,0.0039,0.0001,-0.0037
dog,snow,rare,0.0108,0.0007,-0.01
dog,sofa,rare,0.0,0.0037,0.0037
dog,speaker,rare,0.0,0.0,0.0
dog,stove,rare,0.0026,0.0001,-0.0024
dog,stroller,rare,0.0028,0.0001,-0.0027
dog,stuffed animal,rare,0.0036,0.0001,-0.0034
dog,suitcase,rare,0.0,0.0025,0.0025
dog,surfboard,rare,0.0118,0.0006,-0.0112
dog,table,minority,0.0,0.0281,0.0281
dog,tag,rare,0.0213,0.0009,-0.0204
dog,teddy bear,rare,0.0,0.0019,0.0019
dog,television,rare,0.0,0.0068,0.0068
dog,tent,rare,0.0033,0.0003,-0.003
dog,tie,rare,0.0054,0.0003,-0.0051
dog,tissue,rare,0.0,0.0,0.0
dog,toilet,rare,0.0,0.0015,0.0015
dog,toilet paper,rare,0.0,0.0,0.0
dog,towel,rare,0.0,0.0049,0.0049
dog,toy,rare,0.0,0.0043,0.0043
dog,trash can,rare,0.0054,0.0006,-0.0048
dog,tray,rare,0.0033,0.0003,-0.003
dog,trees,rare,0.0408,0.0028,-0.038
dog,truck,rare,0.0118,0.0009,-0.0109
dog,umbrella,rare,0.0,0.0074,0.0074
dog,vase,rare,0.0,0.0024,0.0024
dog,vehicle,rare,0.0046,0.0,-0.0046
dog,wall,minority,0.0,0.0663,0.0663
dog,water,moderate,0.0506,0.0046,-0.046
dog,window,minority,0.0,0.0484,0.0484
dog,woman,moderate,0.0616,0.0052,-0.0564
